H,V,C,x,y,Y,picture,R,G,B
,,,0.31847473292256645,0.3353207714528226,0.05219100406187762,0.png,65,65,63
,,,0.315017015950283,0.33284473381406965,0.05313499907608399,1.png,65,65,64
,,,0.31485414370802695,0.33394583619803314,0.05361200025451106,2.png,65,66,64
,,,0.31428835784187253,0.3331873674109018,0.0540180011461319,3.png,65,66,65
,,,0.3165081686218085,0.33425374521754325,0.05532100230495607,4.png,67,67,65
,,,0.3143541613203277,0.33324582665464714,0.05871199655200651,5.png,68,69,67
,,,0.31451700994836357,0.33244474468393803,0.05873499462527476,6.png,69,69,68
,,,0.3180768814275791,0.3355903552095764,0.05873100098503071,7.png,69,69,66
,,,0.3181747620489052,0.33522075035036525,0.05869100032837714,8.png,69,68,66
,,,0.31530820163501916,0.3334537373592636,0.06272099525166629,9.png,71,71,69
,,,0.3155364927315055,0.3335617292082581,0.0628070021847469,10.png,71,71,69
,,,0.3179769101590426,0.33539034329553263,0.06273099411014121,11.png,72,71,69
,,,0.31488835980797086,0.3337873821480954,0.06331799835627387,12.png,71,71,70
,,,0.3170365179840799,0.33446172216301756,0.07330701065654022,13.png,77,77,75
,,,0.20798377360230233,0.22422339437691619,0.07761000510589025,14.png,34,82,122
,,,0.2133837513497103,0.2319233846140913,0.07851000140620196,15.png,38,82,120
,,,0.21704134767312044,0.22990298673925288,0.07892399700114883,16.png,44,82,120
,,,0.21736047984795837,0.23005209729012907,0.07900200484925847,17.png,45,82,120
,,,0.2170564613987483,0.22938597288070725,0.07903199736860286,18.png,45,82,121
,,,0.21696771341256774,0.23584958096813746,0.08188400458504148,19.png,42,84,120
,,,0.216136410524027,0.23341641882259068,0.08158400373521904,20.png,42,84,121
,,,0.21944420749232943,0.23961765745902264,0.0833239985633832,21.png,44,85,119
,,,0.21254817541271528,0.22568077710962733,0.08109500437522826,22.png,41,83,124
,,,0.21934818174708048,0.23958077241246706,0.0834949907083326,23.png,44,85,120
,,,0.2111677099634393,0.22374958192613567,0.0814839996393508,24.png,40,83,125
,,,0.21113639808545395,0.2237164044123493,0.0814839996393508,25.png,40,83,125
,,,0.21505648438193703,0.22698597760772762,0.08153200015317749,26.png,44,83,123
,,,0.2112441824667975,0.2235176450861314,0.08182398662498304,27.png,40,83,125
,,,0.2136413385237927,0.22580297888264658,0.08182398662498304,28.png,43,83,124
,,,0.21079823202603704,0.2289306153402303,0.08503799227236603,29.png,38,86,126
,,,0.20602140822830198,0.238231982717123,0.09060198792871152,30.png,24,90,126
,,,0.21356046241212384,0.2252520704675961,0.08290199961388854,31.png,43,84,125
,,,0.2103982174508082,0.22963061367506593,0.08603800553887503,32.png,37,86,126
,,,0.20748867010588312,0.239148427789237,0.0916200110980872,33.png,27,91,126
,,,0.21098531333130288,0.23088594491751116,0.0870699939159033,34.png,38,87,126
,,,0.2126245780953527,0.23101943082271265,0.0867420012297289,35.png,40,86,126
,,,0.21108178775866038,0.23051406952567968,0.08722299721419621,36.png,38,87,126
,,,0.21022142842154046,0.23763196662739206,0.09080200384299415,37.png,33,90,126
,,,0.19878271146492135,0.22854866553207706,0.09259899434032351,38.png,10,91,132
,,,0.21058869773807867,0.23754841784660438,0.0910200004624576,39.png,34,90,126
,,,0.20838529973311007,0.2317859522524737,0.08977000847276856,40.png,33,89,128
,,,0.20761685924692114,0.23177229506735,0.09035499942438847,41.png,32,89,128
,,,0.20922455869591106,0.23161942708222508,0.0903419864433695,42.png,35,89,128
,,,0.2091044777469578,0.2389018904475572,0.0932359953539191,43.png,31,91,127
,,,0.2090676424591774,0.23912617690874066,0.09355499683958794,44.png,31,91,127
,,,0.20907798179321083,0.23929445353579418,0.09366200062924838,45.png,31,91,127
,,,0.20677676776724638,0.2383309028661246,0.09462498695883319,46.png,27,92,129
,,,0.20989190064169774,0.23968860410767012,0.09387499222180638,47.png,32,91,127
,,,0.20201684022352995,0.2250723053800157,0.09175499405396226,48.png,24,90,133
,,,0.21035188012709138,0.2404462059895507,0.09430300452912986,49.png,33,92,127
,,,0.20936341077615878,0.23916519793571356,0.09462498695883319,50.png,32,92,128
,,,0.2071827172558105,0.2342486798893926,0.09389900081039532,51.png,30,91,130
,,,0.21295189507225765,0.23934618674957955,0.09380299635048206,52.png,38,91,127
,,,0.21108178047522047,0.23441405827904746,0.09302300011844353,53.png,37,90,129
,,,0.21151047024833589,0.23502443306278167,0.09321800161476519,54.png,38,90,129
,,,0.21456767179795178,0.23952616072222044,0.09375499465146382,55.png,40,90,127
,,,0.21150075810413693,0.2353590929674941,0.09356898816574744,56.png,38,90,129
,,,0.20985991008622476,0.23317309567511074,0.0935289953335178,57.png,36,90,130
,,,0.20191787825237476,0.23013911154702424,0.09597398731022988,58.png,21,93,133
,,,0.2131779619731702,0.23879445412449016,0.09436200453290544,59.png,39,91,128
,,,0.2039007670544524,0.22625907886802626,0.09376900591006182,60.png,29,91,133
,,,0.2076489603581875,0.23909479682386323,0.09744499641789661,61.png,29,93,130
,,,0.21409190938077155,0.24058858746070969,0.0951749983328299,62.png,39,91,127
,,,0.20036004479400277,0.22922793940471736,0.09689899933049985,63.png,16,93,134
,,,0.2041598945920902,0.22617309414614006,0.09392900394223325,64.png,29,91,133
